	0	1	2	3	4	5
0	1	20180512	0	0	0	83849
1	1	20180512	0	0	0	83819
2	0	20180316	16	29	22	124000
3	0	20180315	26	31	28	200300
4	0	20180314	27	27	27	141800
5	0	20180313	3	27	19	141800
6	0	20180312	26	0	0	194000
7	0	20180312	16	29	26	123500
8	1	20180311	3	0	0	111700
9	0	20180308	25	1	23	174800
10	0	20180307	3	27	19	180700
11	0	20180307	3	27	25	130600
12	0	20180306	3	27	19	155300
13	0	20180306	16	29	12	152200
14	0	20180305	16	29	8	122100
15	0	20180302	24	27	15	185000
16	0	20180302	3	0	0	124600
17	0	20180302	16	31	24	114000
18	0	20180302	23	1	23	2400
19	0	20180301	3	27	19	125900
20	0	20180301	16	29	8	122700
21	0	20180301	22	2	20	104500
22	0	20180228	16	29	22	134000
23	0	20180227	3	27	21	160700
24	0	20180227	2	0	0	152400
25	0	20180226	22	2	20	140200
26	0	20180226	3	27	19	123100
27	0	20180226	16	29	8	120000
28	1	20180225	3	0	0	201500
29	1	20180224	3	27	18	233400
30	1	20180224	18	31	17	193800
31	0	20180223	21	31	16	185600
32	0	20180223	20	27	15	184200
33	0	20180223	18	31	14	175300
34	0	20180223	16	29	12	113200
35	0	20180223	3	0	0	83400
36	0	20180222	19	27	13	170000
37	0	20180222	16	29	12	135100
38	0	20180221	3	27	7	143400
39	0	20180221	18	31	11	93000
40	0	20180220	3	0	0	143100
41	0	20180220	16	0	0	134900
42	0	20180219	17	30	9	202300
43	0	20180219	17	30	9	192200
44	0	20180219	16	29	8	120700
45	1	20180217	15	27	7	201700
46	1	20180217	3	0	0	182100
47	0	20180215	20	27	0	172400
48	0	20180214	3	0	0	151000
49	0	20180213	31	27	0	194200
50	0	20180213	3	27	0	192600
51	0	20180213	26	31	0	165100
52	0	20180213	3	27	19	162300
53	1	20180211	3	27	19	180700
54	1	20180211	3	27	19	180600
55	1	20180211	3	31	0	145700
56	1	20180210	26	31	0	152300
57	0	20180209	15	27	0	192000
58	0	20180209	3	27	0	191500
59	0	20180209	3	0	0	113400
60	0	20180209	16	31	0	112000
61	0	20180207	18	31	0	173900
62	0	20180207	3	27	19	143700
63	0	20180207	16	29	8	141400
64	0	20180206	28	28	0	161900
65	0	20180205	16	31	24	114900
66	1	20180204	27	27	27	141700
67	1	20180204	3	27	19	141000
68	1	20180203	3	27	19	194200
69	1	20180203	3	27	0	185300
70	1	20180203	29	27	0	170200
71	0	20180131	3	27	0	212800
72	0	20180131	26	31	0	190100
73	0	20180131	26	31	16	112200
74	0	20180130	3	27	19	164800
75	0	20180129	23	1	23	234500
76	1	20180128	17	32	38	181600
77	1	20180127	15	27	7	211300
78	0	20180126	15	0	0	194600
79	0	20180126	3	0	0	120000
80	0	20180124	3	27	19	192400
81	0	20180124	3	27	19	184700
82	0	20180124	3	27	0	134700
83	0	20180124	3	27	0	133000
84	0	20180123	3	27	21	151000
85	0	20180123	2	0	0	142200
86	0	20180122	3	27	21	162200
87	1	20180121	26	31	28	225300
88	1	20180120	18	31	0	223400
89	1	20180120	18	31	0	212800
90	1	20180120	15	27	7	125400
91	0	20180118	19	27	0	180100
92	0	20180118	3	27	25	101000
93	0	20180117	3	27	19	160400
94	0	20180117	3	28	0	134600
95	0	20180116	26	31	28	222900
96	0	20180115	16	31	24	133000
97	1	20180114	3	27	0	143000
98	1	20180113	15	27	0	202100
99	1	20180113	26	31	24	182400
100	1	20180113	3	27	0	180900
101	0	20180112	3	27	25	144200
102	0	20180111	3	27	19	202000
103	0	20180110	3	27	25	193000
104	0	20180110	26	31	0	191900
105	0	20180109	30	33	0	212300
106	0	20180109	3	27	19	170900
107	0	20180109	16	31	0	163900
108	0	20180108	30	28	0	161900
109	0	20180105	16	31	24	101100
110	0	20180103	3	27	19	185600
111	0	20180101	26	31	28	224500
